CVEGEO,NOMGEO,pop_dfd
20088,San Andrés Cabecera Nueva,83
20089,San Andrés Dinicuiti,199
20090,San Andrés Huaxpaltepec,504
20093,San Andrés Lagunas,49
20094,San Andrés Nuxiño,30
20097,San Andrés Solaga,62
20098,San Andrés Teotilálpam,36
20099,San Andrés Tepetlapa,50
20100,San Andrés Yaá,27
20102,San Andrés Zautla,883
20104,San Antonino el Alto,31
20105,San Antonino Monte Verde,45
20108,San Antonio Huitepec,35
20109,San Antonio Nanahuatípam,120
20113,San Baltazar Loxicha,53
20117,San Bartolomé Loxicha,63
20119,San Bartolomé Yucuañe,40
20121,San Bartolo Soyaltepec,30
20122,San Bartolo Yautepec,0
20123,San Bernardo Mixtepec,268
20124,San Blas Atempa,1271
20125,San Carlos Yautepec,95
20126,San Cristóbal Amatlán,26
20127,San Cristóbal Amoltepec,191
20130,San Dionisio del Mar,333
20131,San Dionisio Ocotepec,203
20133,San Esteban Atatlahuca,97
20134,San Felipe Jalapa de Díaz,106
20135,San Felipe Tejalápam,1050
20136,San Felipe Usila,164
20137,San Francisco Cahuacuá,41
20138,San Francisco Cajonos,64
20141,San Francisco del Mar,430
20143,San Francisco Ixhuatán,78
20146,San Francisco Logueche,40
20147,San Francisco Nuxaño,80
20148,San Francisco Ozolotepec,18
20149,San Francisco Sola,38
20150,San Francisco Telixtlahuaca,145
20151,San Francisco Teopan,12
20152,San Francisco Tlapancingo,30
20153,San Gabriel Mixtepec,211
20154,San Ildefonso Amatlán,58
20156,San Ildefonso Villa Alta,42
20159,San Jerónimo Coatlán,128
20161,San Jerónimo Sosola,43
20162,San Jerónimo Taviche,78
20166,San José Chiltepec,555
20169,San José Independencia,27
20170,San José Lachiguiri,24
20171,San José Tenango,146
20172,San Juan Achiutla,41
20173,San Juan Atepec,37
20175,San Juan Bautista Atatlahuca,35
20176,San Juan Bautista Coixtlahuaca,40
20177,San Juan Bautista Cuicatlán,120
20179,San Juan Bautista Jayacatlán,35
20183,San Juan Bautista Tlachichilco,32
20184,San Juan Bautista Tuxtepec,7436
20185,San Juan Cacahuatepec,248
20186,San Juan Cieneguilla,53
20187,San Juan Coatzóspam,68
20189,San Juan Comaltepec,17
20190,San Juan Cotzocón,437
20193,San Juan del Estado,138
20198,San Juan Guichicovi,878
20199,San Juan Ihualtepec,27
20200,San Juan Juquila Mixes,39
20201,San Juan Juquila Vijanos,66
20202,San Juan Lachao,236
20203,San Juan Lachigalla,37
20204,San Juan Lajarcia,18
20205,San Juan Lalana,129
20206,San Juan de los Cués,78
20207,San Juan Mazatlán,177
20208,San Juan Mixtepec,445
20210,San Juan Ñumí,132
20211,San Juan Ozolotepec,13
20212,San Juan Petlapa,33
20213,San Juan Quiahije,98
20214,San Juan Quiotepec,0
20217,San Juan Tamazola,53
20218,San Juan Teita,20
20220,San Juan Tepeuxila,12
20221,San Juan Teposcolula,36
20222,San Juan Yaeé,37
20225,San Lorenzo,110
20226,San Lorenzo Albarradas,120
20227,San Lorenzo Cacaotepec,5059
20229,San Lorenzo Texmelúcan,35
20231,San Lucas Camotlán,12
20232,San Lucas Ojitlán,457
20233,San Lucas Quiaviní,180
20234,San Lucas Zoquiápam,89
20235,San Luis Amatlán,108
20237,San Marcos Arteaga,88
20242,San Martín Peras,94
20244,San Martín Toxpalan,292
20250,San Mateo Etlatongo,538
20253,San Mateo Piñas,78
20254,San Mateo Río Hondo,161
20255,San Mateo Sindihui,33
20259,San Miguel Ahuehuetitlán,83
20260,San Miguel Aloápam,29
20261,San Miguel Amatitlán,136
20262,San Miguel Amatlán,188
20263,San Miguel Coatlán,42
20265,San Miguel Chimalapa,208
20266,San Miguel del Puerto,421
20269,San Miguel el Grande,90
20270,San Miguel Huautla,4
20271,San Miguel Mixtepec,51
20272,San Miguel Panixtlahuaca,181
20273,San Miguel Peras,101
20275,San Miguel Quetzaltepec,39
20277,Villa Sola de Vega,351
20278,San Miguel Soyaltepec,775
20279,San Miguel Suchixtepec,45
20282,San Miguel Tenango,0
20283,San Miguel Tequixtepec,56
20284,San Miguel Tilquiápam,164
20285,San Miguel Tlacamama,445
20286,San Miguel Tlacotepec,103
20287,San Miguel Tulancingo,22
20288,San Miguel Yotao,44
20290,San Nicolás Hidalgo,65
20291,San Pablo Coatlán,60
20292,San Pablo Cuatro Venados,814
20294,San Pablo Huitzo,815
20296,San Pablo Macuiltianguis,39
20297,San Pablo Tijaltepec,90
20298,San Pablo Villa de Mitla,433
20300,San Pedro Amuzgos,180
20302,San Pedro Atoyac,102
20304,San Pedro Coxcaltepec Cántaros,50
20306,San Pedro el Alto,32
20307,San Pedro Huamelula,187
20308,San Pedro Huilotepec,713
20309,San Pedro Ixcatlán,53
20313,San Pedro Jocotipac,27
20316,San Pedro Mártir Quiechapa,37
20317,San Pedro Mártir Yucuxaco,90
20318,San Pedro Mixtepec,1398
20319,San Pedro Mixtepec,13
20321,San Pedro Nopala,102
20324,San Pedro Pochutla,1092
20325,San Pedro Quiatoni,193
20326,San Pedro Sochiápam,50
20327,San Pedro Tapanatepec,1018
20329,San Pedro Teozacoalco,22
20330,San Pedro Teutila,91
20332,San Pedro Topiltepec,124
20333,San Pedro Totolápam,170
20334,Villa de Tututepec,1362
20335,San Pedro Yaneri,28
20336,San Pedro Yólox,84
20337,San Pedro y San Pablo Ayutla,132
20339,San Pedro y San Pablo Teposcolula,198
20340,San Pedro y San Pablo Tequixtepec,54
20344,San Sebastián Coatlán,59
20345,San Sebastián Ixcapa,100
20346,San Sebastián Nicananduta,83
20348,San Sebastián Tecomaxtlahuaca,629
20349,San Sebastián Teitipac,1493
20353,Santa Ana,155
20355,Santa Ana Cuauhtémoc,69
20356,Santa Ana del Valle,518
20357,Santa Ana Tavela,46
20358,Santa Ana Tlapacoyan,150
20360,Santa Ana Zegache,913
20363,Santa Catarina Ixtepeji,2178
20364,Santa Catarina Juquila,651
20366,Santa Catarina Loxicha,34
20367,Santa Catarina Mechoacán,149
20372,Santa Catarina Yosonotú,77
20373,Santa Catarina Zapoquila,13
20377,Santa Cruz Itundujia,229
20385,Santa Cruz Xoxocotlán,11476
20386,Santa Cruz Zenzontepec,212
20391,Santa Lucía Miahuatlán,41
20392,Santa Lucía Monteverde,126
20394,Santa María Alotepec,45
20395,Santa María Apazco,13
20396,Santa María la Asunción,259
20397,Heroica Ciudad de Tlaxiaco,1451
20398,Ayoquezco de Aldama,69
20400,Santa María Camotlán,402
20401,Santa María Colotepec,879
20402,Santa María Cortijo,60
20405,Villa de Chilapa de Díaz,162
20406,Santa María Chilchotla,126
20407,Santa María Chimalapa,107
20408,Santa María del Rosario,108
20410,Santa María Ecatepec,5
20412,Santa María Guienagati,56
20413,Santa María Huatulco,1507
20414,Santa María Huazolotitlán,526
20415,Santa María Ipalapa,90
20416,Santa María Ixcatlán,16
20417,Santa María Jacatepec,164
20418,Santa María Jalapa del Marqués,436
20419,Santa María Jaltianguis,54
20421,Santa María Mixtequilla,562
20423,Santa María Nduayaco,40
20424,Santa María Ozolotepec,19
20425,Santa María Pápalo,15
20426,Santa María Peñoles,149
20427,Santa María Petapa,437
20428,Santa María Quiegolani,0
20431,Santa María Tecomavaca,169
20434,Santa María Teopoxco,75
20435,Santa María Tepantlali,39
20436,Santa María Texcatitlán,18
20437,Santa María Tlahuitoltepec,94
20438,Santa María Tlalixtac,48
20439,Santa María Tonameca,925
20440,Santa María Totolapilla,0
20441,Santa María Xadani,632
20442,Santa María Yalina,45
20443,Santa María Yavesía,32
20445,Santa María Yosoyúa,71
20446,Santa María Yucuhiti,107
20447,Santa María Zacatepec,384
20448,Santa María Zaniza,21
20449,Santa María Zoquitlán,126
20450,Santiago Amoltepec,104
20451,Santiago Apoala,13
20453,Santiago Astata,27
20454,Santiago Atitlán,28
20455,Santiago Ayuquililla,120
20457,Santiago Camotlán,83
20458,Santiago Comaltepec,42
20459,Villa de Santiago Chazumba,101
20460,Santiago Choápam,39
20462,Santiago Huajolotitlán,356
20463,Santiago Huauclilla,38
20464,Santiago Ihuitlán Plumas,18
20465,Santiago Ixcuintepec,5
20466,Santiago Ixtayutla,141
20467,Santiago Jamiltepec,471
20468,Santiago Jocotepec,211
20469,Santiago Juxtlahuaca,579
20470,Santiago Lachiguiri,54
20472,Santiago Laollaga,271
20474,Santiago Llano Grande,183
20475,Santiago Matatlán,186
20476,Santiago Miltepec,35
20477,Santiago Minas,51
20478,Santiago Nacaltepec,35
20480,Santiago Nundiche,193
20482,Santiago Pinotepa Nacional,1811
20484,Santiago Tamazola,54
20485,Santiago Tapextla,42
20486,Villa Tejúpam de la Unión,102
20487,Santiago Tenango,212
20489,Santiago Tetepec,85
20491,Santiago Textitlán,34
20492,Santiago Tilantongo,49
20494,Santiago Tlazoyaltepec,91
20495,Santiago Xanica,37
20496,Santiago Xiacuí,43
20498,Santiago Yaveo,211
20500,Santiago Yosondúa,211
20501,Santiago Yucuyachi,34
20502,Santiago Zacatepec,23
20504,Nuevo Zoquiápam,366
20505,Santo Domingo Ingenio,355
20506,Santo Domingo Albarradas,29
20507,Santo Domingo Armenta,60
20508,Santo Domingo Chihuitán,553
20509,Santo Domingo de Morelos,77
20510,Santo Domingo Ixcatlán,61
20511,Santo Domingo Nuxaá,23
20512,Santo Domingo Ozolotepec,49
20513,Santo Domingo Petapa,167
20515,Santo Domingo Tehuantepec,4884
20516,Santo Domingo Teojomulco,93
20517,Santo Domingo Tepuxtepec,34
20520,Santo Domingo Tonalá,188
20521,Santo Domingo Tonaltepec,35
20523,Santo Domingo Yanhuitlán,96
20525,Santo Domingo Zanatepec,448
20526,Santos Reyes Nopala,325
20528,Santos Reyes Tepejillo,53
20529,Santos Reyes Yucuná,129
20530,Santo Tomás Jalieza,599
20532,Santo Tomás Ocotepec,85
20533,Santo Tomás Tamazulapan,144
20534,San Vicente Coatlán,34
20535,San Vicente Lachixío,18
20536,San Vicente Nuñú,38
20537,Silacayoápam,294
20540,Villa de Tamazulápam del Progreso,244
20543,Tataltepec de Valdés,116
20544,Teococuilco de Marcos Pérez,770
20545,Teotitlán de Flores Magón,76
20548,Tepelmeme Villa de Morelos,49
20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",735
20550,San Jerónimo Tlacochahuaya,1202
20551,Tlacolula de Matamoros,703
20553,Tlalixtac de Cabrera,4267
20554,Totontepec Villa de Morelos,70
20555,Trinidad Zaachila,1595
20557,Unión Hidalgo,541
20558,Valerio Trujano,132
20559,San Juan Bautista Valle Nacional,503
20560,Villa Díaz Ordaz,393
20561,Yaxe,36
20563,Yogana,56
20565,Villa de Zaachila,3465
20566,San Mateo Yucutindoo,35
20567,Zapotitlán Lagunas,236
20569,Santa Inés de Zaragoza,27
20570,Zimatlán de Álvarez,1462
21001,Acajete,4534
21002,Acateno,246
21003,Acatlán,1626
21004,Acatzingo,1362
21005,Acteopan,326
21006,Ahuacatlán,331
21007,Ahuatlán,222
21008,Ahuazotepec,575
21010,Ajalpan,2939
21011,Albino Zertuche,61
21012,Aljojuca,305
21015,Amozoc,10974
21016,Aquixtla,946
21018,Atexcal,257
21019,Atlixco,11785
21022,Atzitzihuacán,479
21023,Atzitzintla,239
21024,Axutla,131
21025,Ayotoxco de Guerrero,179
21026,Calpan,1917
21027,Caltepec,108
21031,Coatzingo,83
21032,Cohetzala,114
21035,Coxcatlán,518
21036,Coyomeapan,198
21037,Coyotepec,120
21039,Cuautempan,186
21040,Cuautinchán,2952
21042,Cuayuca de Andrade,51
21043,Cuetzalan del Progreso,664
21044,Cuyoaco,748
21045,Chalchicomula de Sesma,1924
21046,Chapulco,815
21047,Chiautla,949
21048,Chiautzingo,3241
21049,Chiconcuautla,424
21050,Chichiquila,334
21051,Chietla,2301
21053,Chignahuapan,3053
21054,Chignautla,1231
21055,Chila,161
21056,Chila de la Sal,120
21057,Honey,366
21058,Chilchotla,352
21061,Eloxochitlán,135
21062,Epatlán,473
21063,Esperanza,410
21064,Francisco Z. Mena,439
21065,General Felipe Ángeles,826
21066,Guadalupe,215
21067,Guadalupe Victoria,605
21069,Huaquechula,1317
21070,Huatlatlauca,175
21071,Huauchinango,3963
21072,Huehuetla,241
21073,Huehuetlán el Chico,530
21074,Huejotzingo,12105
21076,Hueytamalco,1614
21077,Hueytlalpan,202
21078,Huitzilan de Serdán,200
21079,Huitziltepec,525
21081,Ixcamilpa de Guerrero,73
21082,Ixcaquixtla,89
21083,Ixtacamaxtitlán,506
21085,Izúcar de Matamoros,3305
21086,Jalpan,258
21087,Jolalpan,213
21089,Jopala,266
21092,Juan N. Méndez,202
21093,Lafragua,256
21094,Libres,1503
21096,Mazapiltepec de Juárez,833
21098,Molcaxac,289
21099,Cañada Morelos,495
21101,Nauzontla,420
21103,Nicolás Bravo,448
21104,Nopalucan,1467
21106,Ocoyucan,9917
21107,Olintla,143
21108,Oriental,820
21109,Pahuatlán,502
21110,Palmar de Bravo,1700
21111,Pantepec,354
21112,Petlalcingo,337
21113,Piaxtla,427
21114,Puebla,154168
21115,Quecholac,1988
21116,Quimixtlán,445
21119,San Andrés Cholula,21631
21120,San Antonio Cañada,427
21121,San Diego la Mesa Tochimiltzingo,377
21123,San Felipe Tepatlán,127
21124,San Gabriel Chilac,2092
21126,San Jerónimo Tecuanipan,5905
21127,San Jerónimo Xayacatlán,250
21128,San José Chiapa,1308
21129,San José Miahuatlán,1110
21130,San Juan Atenco,411
21132,San Martín Texmelucan,6267
21134,San Matías Tlalancaleca,1860
21135,San Miguel Ixitlán,45
21137,San Nicolás Buenos Aires,327
21138,San Nicolás de los Ranchos,469
21141,San Pedro Yeloixtlahuaca,54
21142,San Salvador el Seco,714
21143,San Salvador el Verde,4853
21144,San Salvador Huixcolotla,2380
21145,San Sebastián Tlacotepec,137
21147,Santa Inés Ahuatempan,173
21149,Santiago Miahuatlán,3572
21150,Huehuetlán el Grande,290
21152,Soltepec,496
21153,Tecali de Herrera,2342
21154,Tecamachalco,3178
21155,Tecomatlán,256
21156,Tehuacán,14102
21157,Tehuitzingo,477
21158,Tenampulco,206
21159,Teopantlán,777
21160,Teotlalco,191
21161,Tepanco de López,2345
21162,Tepango de Rodríguez,172
21164,Tepeaca,3767
21166,Tepeojuma,1456
21167,Tepetzintla,408
21169,Tepexi de Rodríguez,600
21170,Tepeyahualco,535
21172,Tetela de Ocampo,930
21174,Teziutlán,3101
21175,Tianguismanalco,1883
21176,Tilapa,681
21177,Tlacotepec de Benito Juárez,1795
21178,Tlacuilotepec,438
21179,Tlachichuca,839
21180,Tlahuapan,2847
21182,Tlanepantla,1398
21183,Tlaola,1235
21184,Tlapacoya,216
21185,Tlapanalá,466
21186,Tlatlauquitepec,2705
21187,Tlaxco,177
21188,Tochimilco,1596
21190,Totoltepec de Guerrero,100
21191,Tulcingo,307
21192,Tuzamapan de Galeana,190
21193,Tzicatlacoyan,3528
21194,Venustiano Carranza,1129
21195,Vicente Guerrero,393
21196,Xayacatlán de Bravo,116
21197,Xicotepec,2368
21198,Xicotlán,58
21199,Xiutetelco,2718
21201,Xochiltepec,128
21202,Xochitlán de Vicente Suárez,200
21203,Xochitlán Todos Santos,847
21204,Yaonáhuac,560
21205,Yehualtepec,1172
21206,Zacapala,544
21207,Zacapoaxtla,1365
21208,Zacatlán,4272
21209,Zapotitlán,2843
21212,Zautla,530
21213,Zihuateutla,576
21216,Zoquiapan,229
21217,Zoquitlán,209
22001,Amealco de Bonfil,1994
22002,Pinal de Amoles,1024
22003,Arroyo Seco,459
22004,Cadereyta de Montes,3258
22005,Colón,5987
22006,Corregidora,16817
22007,Ezequiel Montes,2877
22008,Huimilpan,11268
22009,Jalpan de Serra,1818
22010,Landa de Matamoros,502
22011,El Marqués,41583
22012,Pedro Escobedo,4403
22013,Peñamiller,620
22014,Querétaro,86786
22015,San Joaquín,235
22016,San Juan del Río,22037
22017,Tequisquiapan,5661
22018,Tolimán,854
23001,Cozumel,3103
23002,Felipe Carrillo Puerto,3434
23003,Isla Mujeres,13017
23004,Othón P. Blanco,17438
23005,Benito Juárez,72772
23006,José María Morelos,1126
23007,Lázaro Cárdenas,2261
23008,Solidaridad,37444
23009,Tulum,6132
23010,Bacalar,875
23011,Puerto Morelos,3372
24001,Ahualulco,851
24002,Alaquines,362
24003,Aquismón,1348
24004,Armadillo de los Infante,984
24005,Cárdenas,720
24006,Catorce,570
24007,Cedral,2001
24008,Cerritos,1101
24009,Cerro de San Pedro,1147
24010,Ciudad del Maíz,887
24011,Ciudad Fernández,1001
24012,Tancanhuitz,424
24013,Ciudad Valles,13440
24014,Coxcatlán,212
24015,Charcas,905
24016,Ebano,1387
24017,Guadalcázar,750
24019,Lagunillas,171
24020,Matehuala,4927
24021,Mexquitic de Carmona,17384
24022,Moctezuma,494
24023,Rayón,893
24024,Rioverde,9644
24025,Salinas,1203
24026,San Antonio,49
24027,San Ciro de Acosta,394
24028,San Luis Potosí,115295
24029,San Martín Chalchicuautla,509
24030,San Nicolás Tolentino,153
24031,Santa Catarina,121
24032,Santa María del Río,1641
24033,Santo Domingo,266
24034,San Vicente Tancuayalab,431
24035,Soledad de Graciano Sánchez,5975
24036,Tamasopo,1065
24037,Tamazunchale,1468
24038,Tampacán,484
24039,Tampamolón Corona,313
24040,Tamuín,2160
24041,Tanlajás,428
24042,Tanquián de Escobedo,292
24043,Tierra Nueva,216
24044,Vanegas,278
24045,Venado,455
24046,Villa de Arriaga,1368
24047,Villa de Guadalupe,637
24048,Villa de la Paz,3270
24049,Villa de Ramos,1410
24050,Villa de Reyes,6275
24051,Villa Hidalgo,766
24052,Villa Juárez,319
24053,Axtla de Terrazas,893
24054,Xilitla,994
24055,Zaragoza,1672
24056,Villa de Arista,476
24057,Matlapa,696
24058,El Naranjo,750
25001,Ahome,35493
25002,Angostura,2308
25003,Badiraguato,417
25004,Concordia,1705
25005,Cosalá,436
25006,Culiacán,81868
25007,Choix,645
25008,Elota,1750
25009,Escuinapa,2892
25010,El Fuerte,4720
25011,Guasave,15834
25012,Mazatlán,37479
25013,Mocorito,2332
25014,Rosario,2520
25015,Salvador Alvarado,3850
25016,San Ignacio,636
25017,Sinaloa,3326
25018,Navolato,10515
26001,Aconchi,121
26002,Agua Prieta,7496
26003,Álamos,1049
26004,Altar,622
26005,Arivechi,10
26006,Arizpe,209
26007,Atil,22
26008,Bacadéhuachi,13
26009,Bacanora,19
26010,Bacerac,20
26011,Bacoachi,58
26012,Bácum,1868
26013,Banámichi,129
26014,Baviácora,94
26015,Bavispe,31
26016,Benjamín Hill,486
26017,Caborca,6673
26018,Cajeme,41221
26019,Cananea,4378
26020,Carbó,273
26021,La Colorada,411
26022,Cucurpe,17
26023,Cumpas,504
26024,Divisaderos,14
26025,Empalme,3303
26026,Etchojoa,3046
26027,Fronteras,562
26028,Granados,0
26029,Guaymas,12044
26030,Hermosillo,106756
26031,Huachinera,11
26032,Huásabas,50
26033,Huatabampo,3172
26034,Huépac,75
26035,Imuris,1189
26036,Magdalena,2823
26037,Mazatán,42
26038,Moctezuma,419
26039,Naco,707
26040,Nácori Chico,9
26041,Nacozari de García,1268
26042,Navojoa,10641
26043,Nogales,25164
26044,Ónavas,0
26045,Opodepe,165
26046,Oquitoa,93
26047,Pitiquito,2956
26048,Puerto Peñasco,5524
26049,Quiriego,920
26050,Rayón,39
26051,Rosario,114
26052,Sahuaripa,275
26053,San Felipe de Jesús,37
26054,San Javier,19
26055,San Luis Río Colorado,19376
26056,San Miguel de Horcasitas,468
26057,San Pedro de la Cueva,32
26058,Santa Ana,1575
26059,Santa Cruz,257
26060,Sáric,44
26061,Soyopa,13
26062,Suaqui Grande,25
26063,Tepache,19
26064,Trincheras,56
26065,Tubutama,24
26066,Ures,509
26067,Villa Hidalgo,42
26068,Villa Pesqueira,14
26069,Yécora,126
26070,General Plutarco Elías Calles,963
26071,Benito Juárez,670
26072,San Ignacio Río Muerto,572
27001,Balancán,1783
27002,Cárdenas,7643
27003,Centla,3208
27004,Centro,47251
27005,Comalcalco,10597
27006,Cunduacán,5521
27007,Emiliano Zapata,543
27008,Huimanguillo,9847
27009,Jalapa,2489
27010,Jalpa de Méndez,5047
27011,Jonuta,485
27012,Macuspana,5573
27013,Nacajuca,5884
27014,Paraíso,4692
27015,Tacotalpa,1077
27016,Teapa,2404
27017,Tenosique,2348
28001,Abasolo,448
28002,Aldama,1958
28003,Altamira,20837
28004,Antiguo Morelos,1245
28005,Burgos,127
28006,Bustamante,74
28007,Camargo,2458
28008,Casas,112
28010,Cruillas,23
28011,Gómez Farías,513
28012,González,2645
28013,Güémez,3623
28014,Guerrero,768
28015,Gustavo Díaz Ordaz,2067
28016,Hidalgo,629
28017,Jaumave,1194
28018,Jiménez,409
28019,Llera,728
28020,Mainero,106
28021,El Mante,7173
28022,Matamoros,59873
28023,Méndez,125
28024,Mier,742
28025,Miguel Alemán,3205
28026,Miquihuana,40
28027,Nuevo Laredo,52556
28028,Nuevo Morelos,275
28029,Ocampo,848
28030,Padilla,792
28031,Palmillas,59
28032,Reynosa,70560
28033,Río Bravo,12548
28034,San Carlos,68
28035,San Fernando,3504
28036,San Nicolás,0
28037,Soto la Marina,1250
28038,Tampico,45358
28039,Tula,956
28040,Valle Hermoso,4797
28041,Victoria,33940
28042,Villagrán,218
28043,Xicoténcatl,1700
29003,Atlangatepec,2425
29004,Atltzayanca,659
29006,Calpulalpan,2223
29007,El Carmen Tequexquitla,541
29008,Cuapiaxtla,446
29010,Chiautempan,3778
29012,Españita,1344
29013,Huamantla,3750
29014,Hueyotlipan,2281
29015,Ixtacuixtla de Mariano Matamoros,5814
29020,Sanctórum de Lázaro Cárdenas,779
29021,Nanacamilpa de Mariano Arista,1313
29023,Natívitas,5366
29025,San Pablo del Monte,6316
29026,Santa Cruz Tlaxcala,4650
29030,Terrenate,1155
29031,Tetla de la Solidaridad,7531
29033,Tlaxcala,8194
29034,Tlaxco,1999
29037,Ziltlaltépec de Trinidad Sánchez Santos,827
29039,Xaloztoc,2088
29040,Xaltocan,2899
29045,Benito Juárez,455
29046,Emiliano Zapata,140
29050,San Francisco Tetlanohcan,1344
29052,San José Teacalco,1853
29058,Santa Catarina Ayometla,13309
30003,Acayucan,2088
30004,Actopan,2611
30005,Acula,192
30006,Acultzingo,1435
30007,Camarón de Tejeda,285
30008,Alpatláhuac,950
30009,Alto Lucero de Gutiérrez Barrios,1836
30010,Altotonga,2184
30011,Alvarado,3666
30012,Amatitlán,495
30013,Naranjos Amatlán,1121
30014,Amatlán de los Reyes,4819
30015,Angel R. Cabada,1564
30016,La Antigua,2321
30017,Apazapan,384
30020,Atlahuilco,569
30021,Atoyac,1973
30022,Atzacan,2563
30023,Atzalan,2870
30024,Tlaltetela,1105
30025,Ayahualulco,427
30027,Benito Juárez,289
30028,Boca del Río,10706
30031,Carrillo Puerto,819
30032,Catemaco,1018
30033,Cazones de Herrera,1127
30034,Cerro Azul,798
30035,Citlaltépetl,259
30037,Coahuitlán,283
30038,Coatepec,5511
30039,Coatzacoalcos,3427
30040,Coatzintla,1521
30042,Colipa,271
30043,Comapa,522
30044,Córdoba,7387
30045,Cosamaloapan de Carpio,2583
30046,Cosautlán de Carvajal,1245
30047,Coscomatepec,2197
30048,Cosoleacaque,16952
30049,Cotaxtla,1405
30050,Coxquihui,669
30051,Coyutla,1043
30052,Cuichapa,905
30053,Cuitláhuac,640
30054,Chacaltianguis,726
30055,Chalma,2676
30057,Chiconquiaco,418
30058,Chicontepec,948
30059,Chinameca,1986
30060,Chinampa de Gorostiza,184
30061,Las Choapas,1620
30063,Chontla,222
30065,Emiliano Zapata,8281
30066,Espinal,509
30067,Filomeno Mata,188
30068,Fortín,5045
30069,Gutiérrez Zamora,1027
30070,Hidalgotitlán,457
30071,Huatusco,2013
30072,Huayacocotla,409
30073,Hueyapan de Ocampo,1019
30075,Ignacio de la Llave,558
30076,Ilamatlán,53
30077,Isla,1853
30078,Ixcatepec,108
30079,Ixhuacán de los Reyes,738
30080,Ixhuatlán del Café,838
30082,Ixhuatlán del Sureste,4778
30083,Ixhuatlán de Madero,590
30084,Ixmatlahuacan,468
30087,Xalapa,18590
30089,Jáltipan,1880
30090,Jamapa,3494
30091,Jesús Carranza,782
30092,Xico,5311
30093,Jilotepec,7607
30094,Juan Rodríguez Clara,1650
30095,Juchique de Ferrer,331
30097,Lerdo de Tejada,195
30099,Maltrata,976
30100,Manlio Fabio Altamirano,4957
30101,Mariano Escobedo,1892
30102,Martínez de la Torre,5275
30104,Mecayapan,334
30105,Medellín de Bravo,13324
30107,Las Minas,337
30108,Minatitlán,8646
30109,Misantla,2252
30110,Mixtla de Altamirano,111
30111,Moloacán,1131
30112,Naolinco,4310
30114,Nautla,1151
30115,Nogales,2378
30116,Oluta,1934
30117,Omealca,1824
30118,Orizaba,8843
30119,Otatitlán,504
30121,Ozuluama de Mascareñas,866
30122,Pajapan,2158
30123,Pánuco,12357
30124,Papantla,16315
30125,Paso del Macho,1349
30126,Paso de Ovejas,3495
30127,La Perla,177
30128,Perote,3487
30129,Platón Sánchez,538
30130,Playa Vicente,1064
30131,Poza Rica de Hidalgo,9072
30132,Las Vigas de Ramírez,1511
30133,Pueblo Viejo,4991
30134,Puente Nacional,1337
30136,Rafael Lucio,3417
30138,Río Blanco,3977
30139,Saltabarranca,989
30140,San Andrés Tenejapan,2160
30141,San Andrés Tuxtla,5469
30142,San Juan Evangelista,1235
30143,Santiago Tuxtla,1831
30144,Sayula de Alemán,957
30145,Soconusco,446
30147,Soledad Atzompa,532
30148,Soledad de Doblado,1153
30149,Soteapan,447
30150,Tamalín,137
30151,Tamiahua,1089
30152,Tampico Alto,1349
30153,Tancoco,285
30154,Tantima,501
30155,Tantoyuca,2489
30156,Tatatila,460
30157,Castillo de Teayo,663
30158,Tecolutla,940
30159,Tehuipango,117
30160,Álamo Temapache,5867
30161,Tempoal,1195
30162,Tenampa,160
30163,Tenochtitlán,301
30164,Teocelo,1120
30165,Tepatlaxco,482
30166,Tepetlán,905
30167,Tepetzintla,388
30168,Tequila,1669
30169,José Azueta,900
30170,Texcatepec,142
30172,Texistepec,1671
30173,Tezonapa,1181
30174,Tierra Blanca,5146
30175,Tihuatlán,8693
30176,Tlacojalpan,244
30177,Tlacolulan,1212
30178,Tlacotalpan,930
30179,Tlacotepec de Mejía,272
30180,Tlachichilco,126
30181,Tlalixcoyan,1772
30182,Tlalnelhuayocan,4859
30183,Tlapacoyan,685
30184,Tlaquilpa,157
30186,Tomatlán,1339
30187,Tonayán,301
30188,Totutla,328
30189,Tuxpan,10118
30190,Tuxtilla,226
30191,Ursulo Galván,1730
30192,Vega de Alatorre,958
30193,Veracruz,27194
30194,Villa Aldama,736
30195,Xoxocotla,131
30196,Yanga,1815
30197,Yecuatla,519
30198,Zacualpan,136
30200,Zentla,237
30201,Zongolica,1048
30202,Zontecomatlán de López y Fuentes,151
30204,Agua Dulce,2278
30205,El Higo,624
30207,Tres Valles,2252
30208,Carlos A. Carrillo,1965
30209,Tatahuicapan de Juárez,207
30210,Uxpanapa,461
30211,San Rafael,1722
30212,Santiago Sochiapan,180
31001,Abalá,171
31002,Acanceh,278
31003,Akil,419
31005,Bokobá,190
31006,Buctzotz,67
31007,Cacalchén,361
31008,Calotmul,173
31009,Cansahcab,182
31010,Cantamayec,52
31011,Celestún,69
31012,Cenotillo,102
31013,Conkal,4197
31014,Cuncunul,111
31015,Cuzamá,244
31016,Chacsinkín,95
31017,Chankom,110
31018,Chapab,254
31019,Chemax,571
31020,Chicxulub Pueblo,1272
31021,Chichimilá,623
31022,Chikindzonot,14
31023,Chocholá,674
31024,Chumayel,83
31025,Dzán,518
31026,Dzemul,214
31027,Dzidzantún,548
31028,Dzilam de Bravo,0
31029,Dzilam González,299
